standard_id,rule_set_version,item_id,canonical_column,sex,question_unit,criterion_unit,api_unit,source_lower,source_lower_inclusive,source_upper,source_upper_inclusive,api_lower,api_lower_inclusive,api_upper,api_upper_inclusive,point,source_citation,source_locator,transcription_status,notes
AHA2022,2022.1,olive_oil,olive_oil,,servings_per_day,servings_per_day,servings_per_day,2,TRUE,,,2,TRUE,,,1,doi:10.1161/CIR.0000000000001078,"Supplemental Material, Appendix 1, Table C (p. 5)",transcribed,"Includes olive oil used in frying, meals away from home, and salads."
AHA2022,2022.1,green_leafy_vegetables,green_leafy_vegetables,,servings_per_day,servings_per_week,servings_per_day,7,TRUE,,,1,TRUE,,,1,doi:10.1161/CIR.0000000000001078,"Supplemental Material, Appendix 1, Table C (p. 5)",transcribed,"The question asks for daily intake; 1 serving/day is equivalent to the criterion of 7 servings/week."
AHA2022,2022.1,other_vegetables,other_vegetables,,servings_per_day,servings_per_day,servings_per_day,2,TRUE,,,2,TRUE,,,1,doi:10.1161/CIR.0000000000001078,"Supplemental Material, Appendix 1, Table C (p. 5)",transcribed,
AHA2022,2022.1,berries,berries,,servings_per_week,servings_per_week,servings_per_week,2,TRUE,,,2,TRUE,,,1,doi:10.1161/CIR.0000000000001078,"Supplemental Material, Appendix 1, Table C (p. 5)",transcribed,
AHA2022,2022.1,other_fruit,other_fruit,,servings_per_week,servings_per_day,servings_per_week,1,TRUE,,,7,TRUE,,,1,doi:10.1161/CIR.0000000000001078,"Supplemental Material, Appendix 1, Table C (p. 5)",transcribed,"The question asks for weekly intake; 7 servings/week is equivalent to the criterion of 1 serving/day."
AHA2022,2022.1,meat,meat,,servings_per_week,servings_per_week,servings_per_week,,,3,TRUE,,,3,TRUE,1,doi:10.1161/CIR.0000000000001078,"Supplemental Material, Appendix 1, Table C (p. 5)",transcribed,"Includes red meat, hamburger, bacon, or sausage."
AHA2022,2022.1,fish,fish,,servings_per_week,servings_per_week,servings_per_week,1,TRUE,,,1,TRUE,,,1,doi:10.1161/CIR.0000000000001078,"Supplemental Material, Appendix 1, Table C (p. 5)",transcribed,"The question includes fish, shellfish, and seafood; the criterion is printed as fish."
AHA2022,2022.1,chicken,chicken,,servings_per_week,servings_per_week,servings_per_week,,,5,TRUE,,,5,TRUE,1,doi:10.1161/CIR.0000000000001078,"Supplemental Material, Appendix 1, Table C (p. 5)",transcribed,
AHA2022,2022.1,cheese,cheese,,servings_per_week,servings_per_week,servings_per_week,,,4,TRUE,,,4,TRUE,1,doi:10.1161/CIR.0000000000001078,"Supplemental Material, Appendix 1, Table C (p. 5)",transcribed,"Includes full-fat or regular cheese or cream cheese."
AHA2022,2022.1,butter_cream,butter_cream,,servings_per_week,servings_per_week,servings_per_week,,,5,TRUE,,,5,TRUE,1,doi:10.1161/CIR.0000000000001078,"Supplemental Material, Appendix 1, Table C (p. 5)",transcribed,
AHA2022,2022.1,beans,beans,,servings_per_week,servings_per_week,servings_per_week,3,TRUE,,,3,TRUE,,,1,doi:10.1161/CIR.0000000000001078,"Supplemental Material, Appendix 1, Table C (p. 5)",transcribed,
AHA2022,2022.1,whole_grains,whole_grains,,servings_per_day,servings_per_day,servings_per_day,3,TRUE,,,3,TRUE,,,1,doi:10.1161/CIR.0000000000001078,"Supplemental Material, Appendix 1, Table C (p. 5)",transcribed,
AHA2022,2022.1,sweets_and_pastries,sweets_and_pastries,,servings_per_week,servings_per_week,servings_per_week,,,4,TRUE,,,4,TRUE,1,doi:10.1161/CIR.0000000000001078,"Supplemental Material, Appendix 1, Table C (p. 5)",transcribed,"Includes commercial sweets, candy bars, pastries, cookies, or cakes."
AHA2022,2022.1,nuts,nuts,,servings_per_week,servings_per_week,servings_per_week,4,TRUE,,,4,TRUE,,,1,doi:10.1161/CIR.0000000000001078,"Supplemental Material, Appendix 1, Table C (p. 5)",transcribed,
AHA2022,2022.1,fast_food,fast_food,,times_per_week,meals_per_week,times_per_week,,,1,TRUE,,,1,TRUE,1,doi:10.1161/CIR.0000000000001078,"Supplemental Material, Appendix 1, Table C (p. 5)",transcribed,"The question asks how many times per week meals are consumed from fast-food restaurants."
AHA2022,2022.1,alcohol_male,alcohol,male,servings_per_week,servings_per_day,servings_per_week,0,FALSE,2,TRUE,0,FALSE,14,TRUE,1,doi:10.1161/CIR.0000000000001078,"Supplemental Material, Appendix 1, Table C (p. 5); Cerwinske et al. 2017, doi:10.1111/jhn.12451",interpreted,"Both sources print a logically defective OR connector. The executable policy interprets the endpoints as a bounded positive interval: more than 0 through 2 servings/day, equivalent to (0,14] servings/week."
AHA2022,2022.1,alcohol_female,alcohol,female,servings_per_week,servings_per_day,servings_per_week,0,FALSE,1,TRUE,0,FALSE,7,TRUE,1,doi:10.1161/CIR.0000000000001078,"Supplemental Material, Appendix 1, Table C (p. 5); Cerwinske et al. 2017, doi:10.1111/jhn.12451",interpreted,"Both sources print a logically defective OR connector. The executable policy interprets the endpoints as a bounded positive interval: more than 0 through 1 serving/day, equivalent to (0,7] servings/week."
