standard_id,rule_set_version,metric,population,age_min,age_min_inclusive,age_max,age_max_inclusive,measurement_method,source_citation,source_locator,verification_status,verified_by,verification_date,notes
AHA2022,2022.1,diet,adult,20,TRUE,,,mepa_or_population_quantile,doi:10.1161/CIR.0000000000001078,"Supplemental Material, Appendix 1, Table A (p. 3), adult column; Table C (p. 5); advisory Table 1, Diet adult column and Notes on implementation: Diet (Circulation 2022;146:e24-e26)",transcribed,,,"Adult population-percentile bands, MEPA total bands, and all 16 raw screener criteria are recorded. The raw-item ledger is data-raw/reference-adult/aha2022-adult-mepa-items.csv. The population reference is NHANES 2015-2018. The alcohol connector is logically defective in Table C and the original MEPA article; the executable policy records the agreed bounded-positive interpretation rather than presenting it as a verified transcription. Quantiles may be recalibrated, and culturally contextual healthy diets require clinician judgment."
AHA2022,2022.1,physical_activity,adult,20,TRUE,,,moderate_equivalent_minutes_week,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, PA adult column and Notes on implementation: PA (Circulation 2022;146:e24-e26)",transcribed,,,"All seven adult score bands transcribed. Moderate minutes count 1:1 and vigorous minutes count 2:1 toward the weekly total."
AHA2022,2022.1,nicotine,adult,20,TRUE,,,status_quit_time_nds_secondhand,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Nicotine exposure adult column and Notes on implementation: Nicotine exposure (Circulation 2022;146:e24-e26)",transcribed,,,"Combustible-smoking/quit-time and current inhaled-NDS base bands plus the 20-point home indoor secondhand-smoke decrement transcribed. The decrement does not apply when the base score is 0. The source does not state a dual-use tie-break."
AHA2022,2022.1,sleep,adult,20,TRUE,,,average_hours_per_24h,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Sleep health adult column and Notes on implementation: Sleep health (Circulation 2022;146:e24-e26)",transcribed,,,"All adult duration bands transcribed, including separate low- and high-duration 40-point branches. Untreated or undertreated sleep apnea carries a discretionary, not automatic, consideration to subtract 20 points when information is available."
AHA2022,2022.1,bmi,adult,20,TRUE,,,bmi_kg_m2,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, BMI adult column and Notes on implementation: BMI, including Asian or Pacific ancestry alternative bands (Circulation 2022;146:e24-e26)",transcribed,,,"General and Asian/Pacific ancestry bands transcribed as separate reference profiles. BMI <18.5 and lean muscular adults with BMI 25.0-29.9 require clinician judgment as described in the implementation note."
AHA2022,2022.1,blood_lipids,adult,20,TRUE,,,non_hdl_cholesterol,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Blood lipids adult column and Notes on implementation: Blood lipids (Circulation 2022;146:e24-e26); AHA NHANES implementation supplement, Figure S5 (p. 20), doi:10.1161/CIRCULATIONAHA.122.060911",transcribed,,,"All non-HDL cholesterol bands and the treated-level 20-point decrement transcribed. The advisory does not state the nicotine rule's explicit base-score-zero exception; Figure S5 in the AHA applied implementation lists only nonnegative possible scores and supports the zero floor used by the executable scorer."
AHA2022,2022.1,blood_glucose,adult,20,TRUE,,,fasting_glucose_or_hba1c,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Blood glucose adult column and Notes on implementation: Blood glucose (Circulation 2022;146:e24-e26)",transcribed,,,"No-diabetes FBG/HbA1c alternatives, diabetes HbA1c bands, and the discretionary metformin/normoglycemia consideration transcribed. Table 1 does not specify precedence when both FBG and HbA1c are available or a diabetes score from FBG alone."
AHA2022,2022.1,blood_pressure,adult,20,TRUE,,,sbp_dbp_and_treatment,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, BP adult column and Notes on implementation: BP (Circulation 2022;146:e24-e26); AHA NHANES implementation supplement, Figure S5 (p. 20), doi:10.1161/CIRCULATIONAHA.122.060911",transcribed,,,"Systolic and diastolic bands are represented as component intervals whose minimum score reproduces the source's AND/OR categories; the treated-level 20-point decrement is separate. The advisory does not state the nicotine rule's explicit base-score-zero exception; Figure S5 in the AHA applied implementation lists only nonnegative possible scores and supports the zero floor used by the executable scorer."
AHA2022,2022.1,diet,pediatric,2,TRUE,20,FALSE,to_be_verified,doi:10.1161/CIR.0000000000001078,TODO: exact pediatric supplement locator,planned,,,Raw-input capability is not yet defined
AHA2022,2022.1,physical_activity,pediatric,2,TRUE,20,FALSE,to_be_verified,doi:10.1161/CIR.0000000000001078,TODO: exact pediatric supplement locator,planned,,,Age transitions must be metric-specific
AHA2022,2022.1,nicotine,pediatric,2,TRUE,20,FALSE,to_be_verified,doi:10.1161/CIR.0000000000001078,TODO: exact pediatric supplement locator,planned,,,Applicability by age must be verified
AHA2022,2022.1,sleep,pediatric,2,TRUE,20,FALSE,to_be_verified,doi:10.1161/CIR.0000000000001078,TODO: exact pediatric supplement locator,planned,,,Age-specific score bands must be transcribed
AHA2022,2022.1,bmi,pediatric,2,TRUE,20,FALSE,age_sex_reference_percentile,doi:10.1161/CIR.0000000000001078,TODO: exact pediatric supplement locator,planned,,,Reference provider and point mapping are separate decisions
AHA2022,2022.1,blood_lipids,pediatric,2,TRUE,20,FALSE,to_be_verified,doi:10.1161/CIR.0000000000001078,TODO: exact pediatric supplement locator,planned,,,Do not reuse adult bands without verification
AHA2022,2022.1,blood_glucose,pediatric,2,TRUE,20,FALSE,to_be_verified,doi:10.1161/CIR.0000000000001078,TODO: exact pediatric supplement locator,planned,,,Eligibility and measurement rules must be verified
AHA2022,2022.1,blood_pressure,pediatric,2,TRUE,20,FALSE,reference_percentile_or_category,doi:10.1161/CIR.0000000000001078,TODO: exact pediatric supplement locator,planned,,,Provider source and fallback must be explicit
