standard_id,rule_set_version,rule_id,metric,population,age_min,age_min_inclusive,age_max,age_max_inclusive,age_unit,measurement_method,reference_method,condition_group,condition_id,condition_operator,lower,lower_inclusive,upper,upper_inclusive,score,modifier,modifier_order,priority,source_citation,source_locator,verification_status,verified_by,verification_date,notes
AHA2022,2022.1,aha2022-adult-diet-percentile-100,diet,adult,20,TRUE,,,years,dash_or_hei2015_population_percentile,NHANES_2015_2018,diet_population_percentile,at_or_above_95th_percentile,interval,95,TRUE,,,100,none,0,1,doi:10.1161/CIR.0000000000001078,"Supplemental Material, Appendix 1, Table A (p. 3), adult population scoring; advisory Table 1, Diet adult column and Notes on implementation: Diet (Circulation 2022;146:e24-e26)",transcribed,,,"The source assigns 100 points at or above the 95th percentile; the reference population is NHANES 2015-2018."
AHA2022,2022.1,aha2022-adult-diet-percentile-080,diet,adult,20,TRUE,,,years,dash_or_hei2015_population_percentile,NHANES_2015_2018,diet_population_percentile,75th_to_below_95th_percentile,interval,75,TRUE,95,FALSE,80,none,0,1,doi:10.1161/CIR.0000000000001078,"Supplemental Material, Appendix 1, Table A (p. 3), adult population scoring; advisory Table 1, Diet adult column and Notes on implementation: Diet (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: 75th-94th percentile. The exclusive upper boundary is the next displayed cut point."
AHA2022,2022.1,aha2022-adult-diet-percentile-050,diet,adult,20,TRUE,,,years,dash_or_hei2015_population_percentile,NHANES_2015_2018,diet_population_percentile,50th_to_below_75th_percentile,interval,50,TRUE,75,FALSE,50,none,0,1,doi:10.1161/CIR.0000000000001078,"Supplemental Material, Appendix 1, Table A (p. 3), adult population scoring; advisory Table 1, Diet adult column and Notes on implementation: Diet (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: 50th-74th percentile. The exclusive upper boundary is the next displayed cut point."
AHA2022,2022.1,aha2022-adult-diet-percentile-025,diet,adult,20,TRUE,,,years,dash_or_hei2015_population_percentile,NHANES_2015_2018,diet_population_percentile,25th_to_below_50th_percentile,interval,25,TRUE,50,FALSE,25,none,0,1,doi:10.1161/CIR.0000000000001078,"Supplemental Material, Appendix 1, Table A (p. 3), adult population scoring; advisory Table 1, Diet adult column and Notes on implementation: Diet (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: 25th-49th percentile. The exclusive upper boundary is the next displayed cut point."
AHA2022,2022.1,aha2022-adult-diet-percentile-000,diet,adult,20,TRUE,,,years,dash_or_hei2015_population_percentile,NHANES_2015_2018,diet_population_percentile,1st_to_below_25th_percentile,interval,1,TRUE,25,FALSE,0,none,0,1,doi:10.1161/CIR.0000000000001078,"Supplemental Material, Appendix 1, Table A (p. 3), adult population scoring; advisory Table 1, Diet adult column and Notes on implementation: Diet (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: 1st-24th percentile (bottom/least ideal quartile); values below the 1st percentile are not specified."
AHA2022,2022.1,aha2022-adult-diet-mepa-100,diet,adult,20,TRUE,,,years,mepa_total_points,MEPA_16_item_screener_appendix1_table_c,diet_mepa_total,mepa_15_to_16,interval,15,TRUE,16,TRUE,100,none,0,1,doi:10.1161/CIR.0000000000001078,"Supplemental Material, Appendix 1, Table A (p. 3), adult individual scoring and Table C (p. 5); advisory Table 1, Diet adult column and Notes on implementation: Diet (Circulation 2022;146:e24-e26)",transcribed,,,"MEPA is a 0-16 integer sum; Table C awards 1 point for each of 16 criteria met."
AHA2022,2022.1,aha2022-adult-diet-mepa-080,diet,adult,20,TRUE,,,years,mepa_total_points,MEPA_16_item_screener_appendix1_table_c,diet_mepa_total,mepa_12_to_14,interval,12,TRUE,14,TRUE,80,none,0,1,doi:10.1161/CIR.0000000000001078,"Supplemental Material, Appendix 1, Table A (p. 3), adult individual scoring and Table C (p. 5); advisory Table 1, Diet adult column and Notes on implementation: Diet (Circulation 2022;146:e24-e26)",transcribed,,,"MEPA is a 0-16 integer sum; Table C awards 1 point for each of 16 criteria met."
AHA2022,2022.1,aha2022-adult-diet-mepa-050,diet,adult,20,TRUE,,,years,mepa_total_points,MEPA_16_item_screener_appendix1_table_c,diet_mepa_total,mepa_8_to_11,interval,8,TRUE,11,TRUE,50,none,0,1,doi:10.1161/CIR.0000000000001078,"Supplemental Material, Appendix 1, Table A (p. 3), adult individual scoring and Table C (p. 5); advisory Table 1, Diet adult column and Notes on implementation: Diet (Circulation 2022;146:e24-e26)",transcribed,,,"MEPA is a 0-16 integer sum; Table C awards 1 point for each of 16 criteria met."
AHA2022,2022.1,aha2022-adult-diet-mepa-025,diet,adult,20,TRUE,,,years,mepa_total_points,MEPA_16_item_screener_appendix1_table_c,diet_mepa_total,mepa_4_to_7,interval,4,TRUE,7,TRUE,25,none,0,1,doi:10.1161/CIR.0000000000001078,"Supplemental Material, Appendix 1, Table A (p. 3), adult individual scoring and Table C (p. 5); advisory Table 1, Diet adult column and Notes on implementation: Diet (Circulation 2022;146:e24-e26)",transcribed,,,"MEPA is a 0-16 integer sum; Table C awards 1 point for each of 16 criteria met."
AHA2022,2022.1,aha2022-adult-diet-mepa-000,diet,adult,20,TRUE,,,years,mepa_total_points,MEPA_16_item_screener_appendix1_table_c,diet_mepa_total,mepa_0_to_3,interval,0,TRUE,3,TRUE,0,none,0,1,doi:10.1161/CIR.0000000000001078,"Supplemental Material, Appendix 1, Table A (p. 3), adult individual scoring and Table C (p. 5); advisory Table 1, Diet adult column and Notes on implementation: Diet (Circulation 2022;146:e24-e26)",transcribed,,,"MEPA is a 0-16 integer sum; Table C awards 1 point for each of 16 criteria met."
AHA2022,2022.1,aha2022-adult-physical-activity-100,physical_activity,adult,20,TRUE,,,years,moderate_equivalent_minutes_week,none,physical_activity_minutes,at_or_above_150_minutes,interval,150,TRUE,,,100,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, PA adult column and Notes on implementation: PA (Circulation 2022;146:e24-e26)",transcribed,,,"Each moderate minute counts as 1 minute and each vigorous minute counts as 2 minutes toward the weekly total."
AHA2022,2022.1,aha2022-adult-physical-activity-090,physical_activity,adult,20,TRUE,,,years,moderate_equivalent_minutes_week,none,physical_activity_minutes,120_to_below_150_minutes,interval,120,TRUE,150,FALSE,90,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, PA adult column and Notes on implementation: PA (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: 120-149 minutes; the exclusive upper boundary is the next displayed cut point."
AHA2022,2022.1,aha2022-adult-physical-activity-080,physical_activity,adult,20,TRUE,,,years,moderate_equivalent_minutes_week,none,physical_activity_minutes,90_to_below_120_minutes,interval,90,TRUE,120,FALSE,80,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, PA adult column and Notes on implementation: PA (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: 90-119 minutes; the exclusive upper boundary is the next displayed cut point."
AHA2022,2022.1,aha2022-adult-physical-activity-060,physical_activity,adult,20,TRUE,,,years,moderate_equivalent_minutes_week,none,physical_activity_minutes,60_to_below_90_minutes,interval,60,TRUE,90,FALSE,60,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, PA adult column and Notes on implementation: PA (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: 60-89 minutes; the exclusive upper boundary is the next displayed cut point."
AHA2022,2022.1,aha2022-adult-physical-activity-040,physical_activity,adult,20,TRUE,,,years,moderate_equivalent_minutes_week,none,physical_activity_minutes,30_to_below_60_minutes,interval,30,TRUE,60,FALSE,40,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, PA adult column and Notes on implementation: PA (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: 30-59 minutes; the exclusive upper boundary is the next displayed cut point."
AHA2022,2022.1,aha2022-adult-physical-activity-020,physical_activity,adult,20,TRUE,,,years,moderate_equivalent_minutes_week,none,physical_activity_minutes,above_0_to_below_30_minutes,interval,0,FALSE,30,FALSE,20,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, PA adult column and Notes on implementation: PA (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: 1-29 minutes; this interval preserves the separate 0-minute band while permitting fractional minutes."
AHA2022,2022.1,aha2022-adult-physical-activity-000,physical_activity,adult,20,TRUE,,,years,moderate_equivalent_minutes_week,none,physical_activity_minutes,zero_minutes,interval,0,TRUE,0,TRUE,0,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, PA adult column and Notes on implementation: PA (Circulation 2022;146:e24-e26)",transcribed,,,"The source assigns 0 points at 0 minutes per week."
AHA2022,2022.1,aha2022-adult-nicotine-never-100,nicotine,adult,20,TRUE,,,years,status_quit_time_nds_secondhand,none,nicotine_base_status,never_smoker,category,,,,,100,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Nicotine exposure adult column and Notes on implementation: Nicotine exposure (Circulation 2022;146:e24-e26)",transcribed,,,"Base-score category: never smoker."
AHA2022,2022.1,aha2022-adult-nicotine-former-ge5-075,nicotine,adult,20,TRUE,,,years,status_quit_time_nds_secondhand,none,nicotine_base_status,former_smoker_quit_at_least_5_years,category_and_interval,5,TRUE,,,75,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Nicotine exposure adult column and Notes on implementation: Nicotine exposure (Circulation 2022;146:e24-e26)",transcribed,,,"The interval applies only when status is former smoker."
AHA2022,2022.1,aha2022-adult-nicotine-former-1-lt5-050,nicotine,adult,20,TRUE,,,years,status_quit_time_nds_secondhand,none,nicotine_base_status,former_smoker_quit_1_to_below_5_years,category_and_interval,1,TRUE,5,FALSE,50,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Nicotine exposure adult column and Notes on implementation: Nicotine exposure (Circulation 2022;146:e24-e26)",transcribed,,,"The interval applies only when status is former smoker."
AHA2022,2022.1,aha2022-adult-nicotine-former-lt1-025,nicotine,adult,20,TRUE,,,years,status_quit_time_nds_secondhand,none,nicotine_base_status,former_smoker_quit_below_1_year,category_and_interval,,,1,FALSE,25,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Nicotine exposure adult column and Notes on implementation: Nicotine exposure (Circulation 2022;146:e24-e26)",transcribed,,,"The source states quit <1 year and does not state a lower numeric bound; the interval applies only when status is former smoker."
AHA2022,2022.1,aha2022-adult-nicotine-current-nds-025,nicotine,adult,20,TRUE,,,years,status_quit_time_nds_secondhand,none,nicotine_base_status,current_inhaled_nds_user,category,,,,,25,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Nicotine exposure adult column and Notes on implementation: Nicotine exposure (Circulation 2022;146:e24-e26)",transcribed,,,"Base-score category: currently using an inhaled nicotine-delivery system."
AHA2022,2022.1,aha2022-adult-nicotine-current-combustible-000,nicotine,adult,20,TRUE,,,years,status_quit_time_nds_secondhand,none,nicotine_base_status,current_smoker,category,,,,,0,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Nicotine exposure adult column and Notes on implementation: Nicotine exposure (Circulation 2022;146:e24-e26)",transcribed,,,"Base-score category: current smoker."
AHA2022,2022.1,aha2022-adult-nicotine-secondhand-minus20,nicotine,adult,20,TRUE,,,years,living_with_active_indoor_smoker_at_home,none,nicotine_modifier,home_indoor_secondhand_smoke_exposure,is_true,,,,,20,subtract_points_unless_base_zero,1,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Nicotine exposure adult column and Notes on implementation: Nicotine exposure (Circulation 2022;146:e24-e26)",transcribed,,,"Subtract 20 points for living with an active indoor smoker in the home unless the nicotine base score is 0."
AHA2022,2022.1,aha2022-adult-sleep-100,sleep,adult,20,TRUE,,,years,average_sleep_hours_per_night,none,sleep_duration,7_to_below_9_hours,interval,7,TRUE,9,FALSE,100,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Sleep health adult column and Notes on implementation: Sleep health (Circulation 2022;146:e24-e26)",transcribed,,,"Average self-reported hours of sleep per night."
AHA2022,2022.1,aha2022-adult-sleep-090,sleep,adult,20,TRUE,,,years,average_sleep_hours_per_night,none,sleep_duration,9_to_below_10_hours,interval,9,TRUE,10,FALSE,90,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Sleep health adult column and Notes on implementation: Sleep health (Circulation 2022;146:e24-e26)",transcribed,,,"Average self-reported hours of sleep per night."
AHA2022,2022.1,aha2022-adult-sleep-070,sleep,adult,20,TRUE,,,years,average_sleep_hours_per_night,none,sleep_duration,6_to_below_7_hours,interval,6,TRUE,7,FALSE,70,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Sleep health adult column and Notes on implementation: Sleep health (Circulation 2022;146:e24-e26)",transcribed,,,"Average self-reported hours of sleep per night."
AHA2022,2022.1,aha2022-adult-sleep-low-040,sleep,adult,20,TRUE,,,years,average_sleep_hours_per_night,none,sleep_duration,5_to_below_6_hours,interval,5,TRUE,6,FALSE,40,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Sleep health adult column and Notes on implementation: Sleep health (Circulation 2022;146:e24-e26)",transcribed,,,"This is the lower-duration branch of the source's 40-point rule."
AHA2022,2022.1,aha2022-adult-sleep-high-040,sleep,adult,20,TRUE,,,years,average_sleep_hours_per_night,none,sleep_duration,at_or_above_10_hours,interval,10,TRUE,,,40,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Sleep health adult column and Notes on implementation: Sleep health (Circulation 2022;146:e24-e26)",transcribed,,,"This is the excessive-duration branch of the source's 40-point rule."
AHA2022,2022.1,aha2022-adult-sleep-020,sleep,adult,20,TRUE,,,years,average_sleep_hours_per_night,none,sleep_duration,4_to_below_5_hours,interval,4,TRUE,5,FALSE,20,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Sleep health adult column and Notes on implementation: Sleep health (Circulation 2022;146:e24-e26)",transcribed,,,"Average self-reported hours of sleep per night."
AHA2022,2022.1,aha2022-adult-sleep-000,sleep,adult,20,TRUE,,,years,average_sleep_hours_per_night,none,sleep_duration,below_4_hours,interval,,,4,FALSE,0,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Sleep health adult column and Notes on implementation: Sleep health (Circulation 2022;146:e24-e26)",transcribed,,,"The source states <4 hours and does not state a lower numeric bound."
AHA2022,2022.1,aha2022-adult-sleep-apnea-consider-minus20,sleep,adult,20,TRUE,,,years,untreated_or_undertreated_sleep_apnea,clinician_judgment,sleep_modifier,untreated_or_undertreated_sleep_apnea,is_true,,,,,20,consider_subtract_points,1,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Notes on implementation: Sleep health (Circulation 2022;146:e24-e26)",transcribed,,,"Optional judgment rule: clinicians may consider subtracting 20 points when untreated or undertreated sleep apnea information is available; do not apply automatically."
AHA2022,2022.1,aha2022-adult-bmi-general-100,bmi,adult,20,TRUE,,,years,bmi_kg_m2,general_adult,bmi_general,below_25,interval,,,25,FALSE,100,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, BMI adult column and Notes on implementation: BMI (Circulation 2022;146:e24-e26)",transcribed,,,"The table's general adult band is BMI <25. For BMI <18.5, the implementation note defers to clinician judgment on whether underweight is healthy or unhealthy."
AHA2022,2022.1,aha2022-adult-bmi-general-070,bmi,adult,20,TRUE,,,years,bmi_kg_m2,general_adult,bmi_general,25_to_below_30,interval,25,TRUE,30,FALSE,70,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, BMI adult column and Notes on implementation: BMI (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: 25.0-29.9 kg/m2. Clinicians may assign 100 points to lean individuals in this range who have higher muscle mass."
